article,creationDate,link
Wearable-Roboter von Hyundai: Unterstützung für Menschen mit körperlichen Beeinträchtigungen,05.01.2017,/newsticker/meldung/Wearable-Roboter-von-Hyundai-Unterstuetzung-fuer-Menschen-mit-koerperlichen-Beeintraechtigungen-3588661.html
TCL setzt bei Smart-TVs auf  Design und Bildqualität mit Quantenpunkten,05.01.2017,/newsticker/meldung/TCL-setzt-bei-Smart-TVs-auf-Design-und-Bildqualitaet-mit-Quantenpunkten-3588644.html
ZTE Axon 7 bekommt Nougat und wird damit Daydream-Smartphone,05.01.2017,/newsticker/meldung/ZTE-Axon-7-bekommt-Nougat-und-wird-damit-Daydream-Smartphone-3588664.html
Vernetzte Dinge und Städte: Umweltministerium sorgt sich um Mobilfunkstrahlung,05.01.2017,/newsticker/meldung/Vernetzte-Dinge-und-Staedte-Umweltministerium-sorgt-sich-um-Mobilfunkstrahlung-3588527.html
 Sony: Neuer Walkman und neue Extra-Bass-Serie mit Lautsprechern und Kopfhörern ,05.01.2017,/newsticker/meldung/Sony-Neuer-Walkman-und-neue-Extra-Bass-Serie-mit-Lautsprechern-und-Kopfhoerern-3588673.html
Toyota Concept-I: Showcar mit digitalen Assistenten ,05.01.2017,/newsticker/meldung/Toyota-Concept-I-Showcar-mit-digitalen-Assistenten-3588678.html
Aluhut-Unterhosen und Selfie-Drohnen: Die merkwürdigsten Gadgets vom Messeauftakt,05.01.2017,/newsticker/meldung/Aluhut-Unterhosen-und-Selfie-Drohnen-Die-merkwuerdigsten-Gadgets-vom-Messeauftakt-3588682.html
"#heiseshow, ab 12 Uhr live: Autonome und Elektro-Autos – Wann kommt die Zukunft?",05.01.2017,/newsticker/meldung/heiseshow-ab-12-Uhr-live-Autonome-und-Elektro-Autos-Wann-kommt-die-Zukunft-3588400.html
Panasonic GH5: Mit 6k-Serienbildern und neuem Sensor,04.01.2017,/newsticker/meldung/Panasonic-GH5-Mit-6k-Serienbildern-und-neuem-Sensor-3587501.html
Intel Kaby Lake Core i5-7500 kurz getestet,04.01.2017,/newsticker/meldung/Intel-Kaby-Lake-Core-i5-7500-kurz-getestet-3588557.html
Zwerggalaxie ist Ursprung mysteriöser Radioblitze,04.01.2017,/newsticker/meldung/Zwerggalaxie-ist-Ursprung-mysterioeser-Radioblitze-3588351.html
Withings Home: Überwachungskamera künftig mit HomeKit-Unterstützung,04.01.2017,/newsticker/meldung/Withings-Home-Ueberwachungskamera-kuenftig-mit-HomeKit-Unterstuetzung-3588544.html
Geplante Übernahme der VZ-Netzwerke verzögert sich,04.01.2017,/newsticker/meldung/Geplante-Uebernahme-der-VZ-Netzwerke-verzoegert-sich-3588380.html
Teslas Gigafactory beginnt Akku-Serienproduktion,04.01.2017,/newsticker/meldung/Teslas-Gigafactory-beginnt-Akku-Serienproduktion-3588510.html
Telekom: Paketverluste zu Google,04.01.2017,/newsticker/meldung/Telekom-Paketverluste-zu-Google-3588300.html
Neuer Rekord 2016: Über 250 Milliarden Audiostreams in den USA,04.01.2017,/newsticker/meldung/Neuer-Rekord-2016-Ueber-250-Milliarden-Audiostreams-in-den-USA-3588497.html
"HDMI-Version 2.1 bringt höhere Auflösung, dynamisches HDR, variable Bildfrequenz und mehr",04.01.2017,/newsticker/meldung/HDMI-Version-2-1-bringt-hoehere-Aufloesung-dynamisches-HDR-variable-Bildfrequenz-und-mehr-3583222.html
BMW will 40 autonome Autos mit Intel und Mobileye testen,04.01.2017,/newsticker/meldung/BMW-will-40-autonome-Autos-mit-Intel-und-Mobileye-testen-3588416.html
"Mini-PC-Familie Intel NUC: Bis zu 4 GHz, HDMI 2.0, Thunderbolt 3.0",04.01.2017,/newsticker/meldung/Mini-PC-Familie-Intel-NUC-Bis-zu-4-GHz-HDMI-2-0-Thunderbolt-3-0-3588278.html
Thunderbolt 3: Elgato und CalDigit zeigen neue Docks,04.01.2017,/newsticker/meldung/Thunderbolt-3-Elgato-und-CalDigit-zeigen-neue-Docks-3588314.html
Mobilfunk: Intel will 5G-Entwicklung mit Multi-Gigabit-Modem anschieben,04.01.2017,/newsticker/meldung/Mobilfunk-Intel-will-5G-Entwicklung-mit-Multi-Gigabit-Modem-anschieben-3587945.html
